Local Language,English,Translated_English
الرقم الفرعي لحساب التعهدات / دائن,,Contingent liabilities sub-account number / credit
الرقم الفرعي لحساب التعهدات / مدين,,Contingent liabilities sub-account number / debit
الرقم الفرعي لحساب التعهدات / مدين,,Contingent liabilities sub-account number / debit
شحن البضائع من,,Shipment of goods from
ميناء التحميل,,Port of loading
المصاريف الاخرى غير المدفوعة (مستفيد محلي),,Other unpaid charges (local beneficiary)
قيمة التقديم,,Presentation amount
القيمة المسددة ( محلي ),,Paid amount (local)
اخر تاريخ للشحن,,Latest shipment date
تاريخ الاستحقاق,,Maturity date
تفاصيل الدفعات المختلطة,,Mixed payment details
تفاصيل الدفعات المختلطة/المؤجلة,,Mixed/deferred payment details
عمولة التداول,,Negotiation commission
تاريخ التداول,,Negotiation date
تاريخ الاستحقاق الجديد,,New maturity date
مكان الانتهاء الجديد,,New place of expiry
قيمة الاعتماد الجديدة,,New letter of credit amount
رصيد الاعتماد الجديدة,,New letter of credit balance
بوليصة شحن غير قابلة للتجيير,,Non-endorsable bill of lading
رقم التعديل,,Amendment number
عدد التنازلات,,Number of transfers
عدد الايام,,Number of days
رقم السحب,,Drawing number
عدد مرات السحب,,Number of drawings
رقم الاعتماد,,Letter of credit number
مصدر الاعتماد ليس بنك,,LC issuer is not a bank
ملاحظات,,Notes
الحالة التالية,,Next status
رقم حساب التعهدات القديم (دائن),,Old commitments account number (credit)
الرقم الفرعي القديم لتعهدات الاعتماد (دائن),,Old sub-account number for LC commitments (credit)
الرقم الفرعي القديم لتعهدات الاعتماد (مدين),,Old sub-account number for LC commitments (debit)
رقم حساب التعهدات القديم (مدين),,Old commitments account number (debit)
تاريخ الانتهاء القديم,,Old expiry date
رصيد الاعتماد القديم,,Old letter of credit balance
شهادة المنشأ,,Certificate of origin
تفاصيل المصاريف الاخرى,,Details of other charges
الاعتماد معزز بواسطة بنك,,Letter of credit confirmed by a bank
التزامنا,,Our undertaking
بيان التعبئة,,Packing list
الشحن الجزئي,,Partial shipment
التعليمات للبنك الدافع,,Instructions to the paying bank
نوع الدفع,,Payment type
نسبة التفاوت الموجبة/السالبة,,Plus/minus tolerance percentage
القيمة الاساسية المطالب بها,,Principal amount claimed
قيمة الاطلاع ( عملة التقديم ),,Sight amount (presentation currency)
القيمة الاجمالية الواجب دفعها ( التقديم),,Total amount payable (presentation)
قيمة التقديم (عملة التقديم),,Presentation amount (presentation currency)
رصيد التقديم,,Presentation balance
مصاريف البنك المقدم,,Presenting bank charges
عملة التقديم,,Presentation currency
قيمة الدفعة المؤجلة (المستندات المقدمة),,Deferred payment amount (documents presented)
رصيد الدفعة المؤجلة (المستندات المقدمة),,Deferred payment balance (documents presented)
قيمة السحب (عملة التقديم),,Draft amount (presentation currency)
فترة التقديم,,Presentation period
فترة التقديم,,Presentation period
عملة الاستلام,,Currency of receipt
تاريخ الاستلام,,Date of receipt
تاريخ التبليغ,,Date of advice
تاريخ الحركة,,Transaction date
صافي القيمة المستلمة,,Net amount received
سبب الرفض,,Reason for rejection
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
حالة التغطية,,Cover status
حالة الحركة لدى البنك,,Transaction status with the bank
اعتماد دوار,,Revolving LC
المجموع,,Total
ذاتية التصفية,,Self-liquidating
رصيد الاطلاع,,Sight balance
قيمة الاطلاع / المؤجل ( بعملة الاعتماد ),,Sight/Usance amount (in LC currency)
فترة الشحن,,Shipment period
رصيد الاطلاع,,Sight balance
تعليمات خاصة,,Special instructions
التسديد بواسطة,,Settlement by
المدة ايام,,Tenor (days)
وصف المدة,,Tenor description
المدة ايام,,Duration (days)
الخدمة خاضعة للرسوم,,Service subject to fees
الشروط والاحكام الخاصة بالبنك,,Bank’s terms and conditions
المستفيد الثاني,,Second beneficiary
تفاصيل التأمين,,Insurance details
تاريخ انتهاء الاعتماد المحول,,Expiry date of the transferred LC
قيمة الاعتماد المحول,,Amount of the transferred LC
اخر تاريخ للشحن للاعتماد المحول,,Latest shipment date for the transferred LC
فترة التقديم للاعتماد المحول,,Presentation period for the transferred LC
قيمة الوحدة المخفضة للاعتماد المحول,,Reduced unit price for the transferred LC
تاريخ طلب الاعتماد المحول,,Application date for the transferred LC
فترة الشحن  للاعتماد المحول,,Shipment period for the transferred LC
تغيير وسيلة الشحن,,Change of mode of transport
نسبة التفاوت الموجبة/السالبة,,Plus/minus tolerance percentage
تفاصيل نسبة التفاوت الموجبة/السالبة,,Plus/minus tolerance percentage details
تفاصيل القيمة,,Amount details
نسبة التفاوت,,Tolerance percentage
الرصيد القابل التحويل,,Transferable balance
وسيلة النقل,,Mode of transport
تاريخ الحركة,,Transaction date
القيمة الاجمالية الواجب دفعها,,Total amount due for payment
القيمة الاجمالية الواجب دفعها ( المستفيد),,Total amount due for payment (beneficiary)
اجمالي مصاريف الاتصالات ( العملة المحلية),,Total communication charges (local currency)
اجمالي مصاريف الاتصالات غير المدفوعة ( المحلية),,Total unpaid communication charges (local currency)
اجمالي مصاريف الاتصالات غير المدفوعة ( عملة المصاريف),,Total unpaid communication charges (charges currency)
اجمالي التكاليف غير المدفوعة ( عملة المصاريف),,Total unpaid charges (charges currency)
قيمة الاعتماد الاجمالية,,Total documentary credit amount
اجمالي السحوبات القائمة,,Total outstanding drawings
القيمة الاجمالية القابلة للدفع,,Total amount payable
عملة المصاريف غير المدفوعة,,Currency of unpaid charges
عملة المصاريف غير المدفوعة,,Currency of unpaid charges
شهادة الباخرة,,Vessel certificate
طالب الاصدار,,Applicant
تفاصيل التنازل,,Assignment details
تفاصيل التنازل الاول,,First assignment details
تفاصيل التنازل الثاني,,Second assignment details
تفاصيل التنازل الثالث,,Third assignment details
تفاصيل التنازل الرابع,,Fourth assignment details
متاح مع بنك,,Available with bank
متاح مع بنك,,Available with bank
بنك المستفيد,,Beneficiary bank
المصاريف,,Charges
تفاصيل المستندات,,Document details
المستندات,,Documents
المستندات المقدمة,,Presented documents
المسحوب عليه,,Drawee
التعليمات,,Instructions
البنك المصدر,,Issuing bank
البنك المصدر,,Issuing bank
رئيسي,,Main
تفاصيل الاعتماد الاصلي الاخرى,,Other details of the original credit
جهات الاعتماد,,Parties to the credit
شروط الدفع,,Payment terms
البنك المغطي,,Reimbursing bank
البنك المغطي,,Reimbursing bank
تفاصيل الشحن,,Shipment details
تفاصيل الاعتماد المحول,,Transferred credit details
رقم مرجع البنك المبلغ,,Advising bank reference number
رقم الاعتماد,,L/C number
رقم مرجع البنك المبلغ,,Advising bank reference number
قيمة المستندات,,Documents amount
رقم الاعتماد,,LC number
عملة الاعتماد,,LC currency
رقم مرجع البنك المبلغ,,Advising bank reference number
رقم مرجع التداول,,Trade reference number
اسم طالب الاصدار,,Applicant name
رقم الاعتماد,,LC number
رقم مرجع البنك المبلغ,,Advising bank reference number
رقم الاعتماد,,LC number
رقم مرجع البنك المبلغ,,Advising bank reference number
عملة الاعتماد,,LC currency
الوضع الحالي,,Current status
قيمة الاعتماد,,LC amount
الوضع الحالي,,Current status
تاريخ الانتهاء,,Expiry date
رقم الاعتماد,,LC number
طالب الاصدار,,Applicant
رقم مرجع البنك المبلغ,,Advising bank reference number
عملة الاعتماد,,LC currency
قيمة الاعتماد,,LC amount
تاريخ الانتهاء,,Expiry date
رقم الاعتماد,,LC number
طالب الاصدار,,Applicant
اسم المستفيد,,Beneficiary name
رقم مرجع البنك المبلغ,,Advising bank reference number
اسم طالب الاصدار,,Applicant name
اسم المستفيد,,Beneficiary name
عملة التقديم,,Presentation currency
قيمة التقديم,,Presentation amount
رقم الاعتماد,,LC number
رقم مرجع التداول,,Transaction reference number
رقم التبليغ,,Advice number
رقم الاعتماد,,LC number
تاريخ الانتهاء,,Expiry date
رقم مرجع البنك المبلغ,,Advising bank reference number
رصيد الاعتماد,,LC balance
رقم الاعتماد,,LC number
عملة الاعتماد,,LC currency
رقم مرجع البنك المبلغ,,Advising bank reference number
رقم مرجع البنك المبلغ,,Advising bank reference number
تاريخ الانتهاء,,Expiry date
الوضع الحالي,,Current status
حالة الحركة لدى البنك,,Bank transaction status
رقم الاعتماد,,Letter of Credit number
رصيد الاعتماد,,Letter of Credit balance
من ع ند ,,From
المرجع الرئيسي,,Main reference
اسم المنتج,,Product name
حقل شهادة المنشأ,,Certificate of Origin field
مصادق عليها بواسطة,,Certified by
حقل بيان التعبئة,,Packing list field
الشيك,,Cheque
تعليمات تعديل التحصيل,,Collection amendment instructions
تعليمات التحصيل,,Collection instructions
المستندات,,Documents
رئيسي,,Main
أخرى,,Other
الرقم الفرعي لحساب المصاريف,,Expense account sub-number
رقم حساب الدفع,,Payment account number
قيمة القبول,,Acceptance amount
اجمالي قيمة القبول (تحصيل),,Total value of acceptances (Collection)
قيمة القبول الثامن,,Value of the eighth acceptance
قيمة القبول العاشر,,Value of the tenth acceptance
قيمة القبول الثاني,,Value of the second acceptance
قيمة القبول الثالث,,Value of the third acceptance
قيمة القبول الرابع,,Value of the fourth acceptance
قيمة القبول الخامس,,Value of the fifth acceptance
قيمة القبول السادس,,Value of the sixth acceptance
قيمة القبول السابع,,Value of the seventh acceptance
قيمة القبول التاسع,,Value of the ninth acceptance
رصيد القبول (تحصيل),,Acceptance balance (Collection)
رصيد الشيكات,,Checks balance
رصيد القبول الاول,,Balance of the first acceptance
رصيد القبول العاشر,,Balance of the tenth acceptance
رصيد القبول الثاني,,Balance of the second acceptance
رصيد القبول الثالث,,Balance of the third acceptance
رصيد القبول الرابع,,Balance of the fourth acceptance
رصيد القبول الخامس,,Balance of the fifth acceptance
رصيد القبول السادس,,Balance of the sixth acceptance
رصيد القبول السابع,,Balance of the seventh acceptance
رصيد القبول الثامن,,Eighth acceptance balance
رصيد القبول التاسع,,Ninth acceptance balance
تاريخ القبول,,Date of acceptance
تاريخ استحقاق القبول الاول,,First acceptance maturity date
رقم مرجع القبول,,Acceptance reference number
اشعار الاستلام بواسطة,,Receipt advice by
تاريخ اشعار الاستلام,,Date of receipt advice
قيمة القبول,,Acceptance amount
الاجراء المطلوب اتخاذه,,Action to be taken
عموله مقبول مكفول (محلي),,Avalized acceptance commission (local)
تعديل,,Amendment
تعليمات التعديل,,Amendment instructions
الردود,,Responses
رصيد,,Balance
المصاريف دفعت بواسطة,,Charges paid by
رقم حساب المستفيد / رقم حساب المجير الاخير,,Beneficiary account number / last endorser account number
اسم وعنوان المستفيد/ المجير الاخير,,Name and address of beneficiary / last endorser
تعليمات الفاتورة,,Invoice instructions
نوع الفاتورة,,Invoice type
عمولة البنك المركزي (على حساب المسحوب عليه),,Central bank commission (for account of drawee)
مصاريفنا على حساب,,Our charges for account of
مجموع قيم الشيكات,,Total amount of the cheques
قيمة الشيك الاول,,Amount of the first cheque
قيمة الشيك العاشر,,Amount of the tenth cheque
قيمة الشيك الثاني,,Amount of the second cheque
قيمة الشيك الثالث,,Amount of the third cheque
قيمة الشيك الرابع,,Amount of the fourth cheque
قيمة الشيك الخامس,,Amount of the fifth cheque
قيمة الشيك السادس,,Amount of the sixth cheque
قيمة الشيك السابع,,Amount of the seventh cheque
قيمة الشيك الثامن,,Amount of the eighth cheque
قيمة الشيك التاسع,,Amount of the ninth cheque
رقم الشيك الاول,,Number of the first cheque
رقم الشيك العاشر,,Number of the tenth cheque
رقم الشيك الثاني,,Number of the second cheque
رقم الشيك الثالث,,Number of the third cheque
رقم الشيك الرابع,,Number of the fourth cheque
رقم الشيك الخامس,,Number of the fifth cheque
رقم الشيك السادس,,Number of the sixth cheque
رقم الشيك السابع,,Number of the seventh cheque
رقم الشيك الثامن,,Eighth cheque number
رقم الشيك التاسع,,Ninth cheque number
رقم مرجع التحصيل النظيف,,Clean collection reference number
رقم الشيك,,Cheque number
عمولات الوكيل (تحصيل),,Agent commissions (collection)
قيمة التحصيل,,Collection amount
شهاة التحليل / نسخة,,Certificate of Analysis / copy
شهاة التحليل / اصلية,,Certificate of Analysis / original
رصيد التحصيل,,Collection balance
عمولات البنك المحصل,,Collecting bank commissions
بوالص شحن / نسخة,,Bills of lading / copy
قائمة المقاطعة / نسخة,,Boycott list / copy
قائمة المقاطعة / اصلية,,Boycott list / original
بوالص شحن / اصلية,,Bills of lading / original
عملة التحصيل,,Collection currency
عملة تغطية التحصيل,,Collection cover currency
تاريخ انشاء التحصيل,,Collection creation date
قيمة تخفيض التحصيل,,Collection discount amount
السحب / نسخة,,Draft / copy
السحب / اصلي,,Draft / original
القيمة المسحوبة (التحصيل),,Amount drawn (collection)
قيمة زيادة التحصيل,,Increase in collection amount
الفاتورة / نسخة,,Invoice / copy
الفاتورة / اصلية,,Invoice / original
قيمة التامينات (التحصيل),,Insurance amount (collection)
رقم مرجع التحصيل,,Collection reference number
شهادة المنشأ / اصلية,,Certificate of origin / original
مستندات اخرى / نسخة,,Other documents / copy
مستندات اخرى / اصلية,,Other documents / original
بيان التعبئة / نسخة,,Packing list / copy
بيان التعبئة / أصلي,,Packing list / original
قيمة الاطلاع,,Sight amount
قيمة الاطلاع ( تحصيل ),,Sight amount (collection)
رصيد الاطلاع ( تحصيل ),,Sight balance (collection)
نوع التحصيل,,Collection type
شهادة الباخرة / نسخة,,Vessel certificate / copy
شهادة الباخرة / اصلية,,Vessel certificate / original
شهادة الوزن / نسخة,,Weight certificate / copy
شهادة الوزن / اصلية,,Weight certificate / original
قيمة المبلغ المحصل,,Collected amount
عملة المبلغ المحصل,,Currency of the amount collected
قيمة العمولات,,Commission amount
عملة العمولات,,Commission currency
القيمة المسحوبه (المغطي),,Drawn amount (cover)
قيمة الشيك,,Cheque amount
اسم وعنوان البنك المغطي,,Name and address of the covering bank
الوضع الحالي,,Current status
الحساب,,Account
عملة الدفع,,Payment currency
رمز فرع العميل,,Customer branch code
اسم فرع العميل,,Customer branch name
رمز الفرع / حساب العميل,,Branch code / customer account
رمز فرع ورقم حساب المسحوب عليه,,Drawee branch code and account number
القيمة المدفوعة (التغطية),,Paid amount (cover)
القيمة المدفوعة (التغطية -1),,Paid amount (cover -1)
القيمة المدفوعة (التغطية-2),,Paid amount (cover -2)
قيمة المستندات,,Value of documents
رقم مرجع المستندات,,Documents reference number
المستندات المقدمة,,Documents presented
رقم مرجع السحب,,Draft reference number
مصاريف القبول (على المسحوب عليه),,Acceptance charges (on the drawee)
العنوان,,Address
الرمز التعريفي لبنك المسحوب عليه,,Drawee bank identification code
اسم وعنوان بنك الساحب,,Name and address of the drawer's bank
رقم مرجع بنك المسحوب عليه,,Drawee bank reference number
رقم حساب مصاريف المسحوب عليه,,Drawee charges account number
رقم حساب مصاريف المسحوب عليه,,Drawee charges account number
قيمة مصاريف المسحوب عليه,,Amount of drawee charges
عملة حساب مصاريف المسحوب عليه,,Currency of the drawee charges account
الرقم الفرعي لحساب المصاريف,,Sub-account number of the charges account
الرقم الفرعي لحساب مصاريف المسحوب عليه,,Sub-account number of the drawee charges account
عمولات التحصيل (المسحوب عليه),,Collection commission (on the drawee)
فرق العملة (المسحوب عليه),,Exchange difference (on the drawee)
مرجع المستندات (المسحوب عليه),,Document reference (on the drawee)
رقم حساب المسحوب عليه,,Drawee account number
اسم المسحوب عليه,,Drawee name
الاسم والعنوان,,Name and address
رقم حساب الدفع الاول للمسحوب عليه,,First payment account number for the drawee
رقم حساب الدفع الثاني للمسحوب عليه,,Second payment account number for the drawee
العملة الاولى لحساب الدفع للمسحوب عليه,,First currency of the drawee payment account
العملة الثانية لحساب الدفع للمسحوب عليه,,Second currency of the drawee's payment account
الرقم الفرعي الاول لحساب الدفع للمسحوب عليه,,First sub-number of the drawee's payment account
الرقم الفرعي الثاني  لحساب الدفع للمسحوب عليه,,Second sub-number of the drawee's payment account
المصاريف الاجمالية المدفوعة (المسحوب عليه),,Total charges paid (drawee)
رمز دولة الساحب,,Drawer's country code
عمولات التحصيل (الساحب),,Collection commissions (drawer)
رقم حساب الساحب,,Drawer's account number
الاسم والعنوان,,Name and address
المصاريف الاجمالية المدفوعة (حساب دفع 1 الساحب),,Total charges paid (drawer’s payment account 1)
المصاريف الاجمالية المدفوعة (الساحب),,Total charges paid (drawer)
تاريخ حق الدفعة,,Payment entitlement date
الدفع كلي؟,,Full payment?
قيمة الدفعة الكلية,,Full payment amount
وصف البضائع,,Description of goods
الرد من النظام,,System response
تاريخ الفاتورة,,Invoice date
رقم الفاتورة,,Invoice number
الفائدة المترتبة على التاخير في الدفع,,Interest on late payment
عمولة القبول (عمله محلية),,Acceptance commission (local currency)
قيمة التحصيل (عملة محلية),,Collection amount (local currency)
رقم مرجع المراسل المحلي,,Local correspondent reference number
العملة المحلية,,Local currency
المصاريف الاجمالية(المحلية),,Total charges (local)
اجمالي مصاريف الاتصالات ( المحلية),,Total communication charges (local)
تاريخ الاستحقاق الاول,,First due date
تاريخ الاستحقاق العاشر,,Tenth due date
تاريخ الاستحقاق الثاني,,Second due date
تاريخ الاستحقاق الثالث,,Third due date
تاريخ الاستحقاق الرابع,,Fourth due date
تاريخ الاستحقاق الخامس,,Fifth due date
تاريخ الاستحقاق السادس,,Sixth due date
تاريخ الاستحقاق السابع,,Seventh due date
تاريخ الاستحقاق الثامن,,Eighth due date
تاريخ الاستحقاق التاسع,,Ninth due date
النسبة المئوية لدفعة العميل,,Customer payment percentage
تفاصيل الدفعات المختلطة,,Details of mixed payments
قيمة التامينات (تامين),,Collateral value (security)
عملة التامينات,,Collateral currency
قيمة تخفيض التامينات,,Value of collateral reduction
قيمة زيادة التامينات,,Value of collateral increase
نسبة التامينات,,Insurance percentage
رقم حساب بنك المسحوب عليه الجديد,,New drawee bank account number
رقم حساب المسحوب عليه الجديد,,New drawee account number
اسم وعنوان بنك المسحوب عليه الجديد,,Name and address of the new drawee bank
عدد السحوبات,,Number of drawdowns
عدد مرات السحب,,Number of drawings
رقم الدفعة,,Installment number
الحالة التالية,,Next status
قيمة بوليصة التحصيل القديمة,,Old collection bill amount
عملة بوليصة التحصيل القديمة,,Currency of the old collection bill
دولة المنشأ,,Country of origin
الاسم,,Name
الاسم والعنوان,,Name and address
رمز السويفت,,SWIFT code
دور البنك,,Bank role
الدفع الجزئي مسموح به؟,,Is partial payment allowed?
تاريخ الدفع,,Payment date
تعليمات الدفع,,Payment instructions
القيمة المسحوبه (الدفعة الاولى),,Drawn amount (first installment)
القيمة المسحوبه (الدفعة الثانية),,Drawn amount (second installment)
شروط الدفع تحصيل مستندي,,Payment terms: Documentary Collection
نوع الدفع,,Payment type
شروط الدفع,,Payment terms
شروط الدفع تحصيل نظيف,,Payment terms: Clean Collection
مصاريف البنك المقدم (التغطية),,Presenting bank charges (coverage)
الاحتجاج على,,Protest against
رقم الشراء,,Purchase number
استفسارات,,Inquiries
تاريخ الاستلام,,Date of receipt
اسباب اعادة المستندات,,Reasons for returning the documents
سبب الرفض,,Reason for rejection
شروط الدفع تحصيل نظيف,,Payment terms: Clean Collection
تسليم المستندات مقابل,,Release of documents against
عنوان المرسل,,Remitter's address
مصاريف البنك المرسل,,Remitting bank charges
الاسم,,Name
رقم مرجع المرسل,,Remitter's reference number
رمز السويفت,,SWIFT code
هل المرسل نفس الساحب ؟,,Is the remitter the same as the drawer?
رقم حساب المرسل,,Remitter's account number
حالة الحركة لدى البنك,,Transaction status at the bank
تاريخ كتاب ارفاق المستندات,,Date of the document covering letter
تعليمات المرسل الى المستلم,,Sender's instructions to the recipient
الرقم الفرعي لحساب المصاريف,,Sub-account number for the expenses account
الرقم الفرعي لحساب المصاريف,,Sub-account number for the expenses account
الرقم الفرعي لحساب التعهدات,,Sub-account number for the commitments account
الرقم الفرعي لحساب التامينات,,Sub-account number for the security deposits account
الرقم الفرعي لحساب المصاريف غير المحصلة,,Sub-account number for the uncollected expenses account
الرقم الفرعي لحساب مصاريف المسحوب عليه,,Sub-account number for the drawee charges account
قيمة كفالة التخليص على البضائع,,Amount of the customs clearance guarantee for the goods
قيمة التأمينات على كفالة التخليص,,Amount of the security deposit for the customs clearance guarantee
رقم مرجع كفالة التخليص على البضائع,,Reference number of the customs clearance guarantee for the goods
قيمة الاطلاع,,Amount at sight
رقم مرجع الاطلاع,,Sight reference number
قيمة الاطلاع,,Amount at sight
تعليمات خاصة,,Special instructions
المدة,,Tenor
تاريخ وثيقة الشحن الاولى,,Date of the first shipping document
تاريخ وثيقة الشحن الثانية,,Date of the second shipping document
رقم وثيقة الشحن الاولى,,Number of the first shipping document
رقم وثيقة الشحن الثانية,,Second transport document number
الشحن من,,Shipped from
الشحن الى,,Shipped to
رقم وثيقة الشحن الاولى,,First transport document number
رقم وثيقة الشحن الثانية,,Second transport document number
تاريخ الحركة,,Transaction date
القيمة الاجمالية القابلة للدفع,,Total amount payable
قيمة تامينات المستندات,,Document security deposit amount
قيمة التامينات غير المحصلة,,Uncollected security deposit amount
عملة المصاريف غير المحصلة,,Currency of uncollected charges
المصاريف والعمولات غير المحصلة (عملة التغطية),,Uncollected charges and commissions (cover currency)
اسم الباخرة/الناقل,,Vessel/Carrier name
التنازل عن مصاريف البنك المرسل اذا رفضت,,Waive remitting bank charges if refused
التنازل عن مصاريف المرسل (نعم/لا),,Waive remitter's charges (Yes/No)
طريقة الشحن الاولى,,First shipping method
طريقة الشحن الثانية,,Second shipping method
الشيك,,Cheque
تعليمات تعديل التحصيل,,Collection amendment instructions
تعليمات التحصيل,,Collection instructions
المستندات,,Documents
المسحوب عليه,,Drawee
الساحب,,Drawer
رئيسي,,Principal
بنك محصل آخر,,Other collecting bank
بنك محصل آخر,,Other collecting bank
البنك المرسل,,Remitting bank
رقم مرجع التحصيل,,Collection reference number
قيمة التحصيل,,Collection amount
اسم الساحب,,Drawer name
عملة التحصيل,,Collection currency
رقم مرجع التحصيل,,Collection reference number
رصيد التحصيل,,Collection balance
رقم مرجع التحصيل,,Collection reference number
قيمة التحصيل,,Collection amount
اسم الساحب,,Drawer name
عملة التحصيل,,Collection currency
اسم الساحب,,Drawer name
عملة التحصيل,,Collection currency
قيمة التحصيل,,Collection amount
عملة التحصيل,,Collection currency
رقم مرجع التحصيل,,Collection reference number
عملة التحصيل,,Collection currency
رصيد التحصيل,,Collection balance
رقم مرجع التحصيل,,Collection reference number
رقم مرجع التحصيل,,Collection reference number
رصيد التحصيل,,Collection balance
تاريخ حق الدفعة,,Payment due date
الوضع الحالي,,Current status
حالة الحركة لدى البنك,,Transaction status with the bank
رقم وثيقة الشحن الاولى,,First transport document number
رقم وثيقة الشحن الثانية,,Second transport document number
رقم مرجع التحصيل,,Collection reference number
حتى,,To
رصيد السحب,,Drawing balance
القائم,,Outstanding
الرمز التعريفي للبنك الوسيط,,Intermediary bank identifier
القيمة المضافة (اضافة عملة),,Additional amount (additional currency)
القيمة الاضافية (عملة المستندات),,Additional amount (document currency)
قيمة الدفعة المقدمة,,Advance payment amount
عمولات الوكيل,,Agent commissions
عمولات الوكيل الاول (عملة الوكيل الاول),,First Agent Commissions (First Agent Currency)
عمولات الوكيل الاول (عملة المستندات),,First Agent Commissions (Document Currency)
عمولات الوكيل الثاني (عملة المستندات),,Second Agent Commissions (Document Currency)
مصاريف التعديل مدفوعة من,,Amendment fees paid by
عمولات التعديل (على العميل),,Amendment commissions (on the customer)
اضغط لتقديم طلب استنساخ اعتماد استيراد (صادر),,Click to submit a request to clone an Import Letter of Credit (Issued)
لا,,No
نعم,,Yes
قيمة المطالبة من طالب الاصدار (عملة المستندات),,Claim amount from the applicant (Document Currency)
قيمة المطالبة من طالب الاصدار(عملة التسديد),,Claim amount from the applicant (Settlement Currency)
قيمة مطالبة البنك المتداول (عملة المستندات),,Negotiating Bank's claim amount (Document Currency)
القيمة المقيدة بعملة حساب العميل,,Amount posted in the customer's account currency
القيمة المقيدة بعملة المدين المستندي,,Amount posted in the documentary debtor currency
قيمة تعديل الاعتماد تخفيض,,LC amendment decrease amount
شروط إضافية أخرى,,Other additional conditions
تعديل,,Amendment
المستندات,,Documents
التعليمات,,Instructions
رئيسي,,Main
أخرى,,Other
جهات الاعتماد,,Parties to the credit
شحنة / انتهاء,,Shipment / Expiry
فاتورة تجارية موقعة،,,"Signed commercial invoice,"
نسخ تشير شروط التسليم.,,Copies indicating the delivery terms.
يجب ان تكون الفاتورة التجارية الأصلية:,,The original commercial invoice must be:
مصدقة من غرفة تجارية عربية أجنبية مشتركة في الدولة المصدرة(ان وجدت)، او من غرفة التجارة/الصناعة المحلية,,"Certified by an Arab-foreign joint chamber of commerce in the exporting country (if any), or by the local chamber of commerce/industry"
مصادق عليها من قبل السفارة / القنصلية,,Legalized by the embassy/consulate
إن وجدت في مكان المستفيد,,If present at the beneficiary’s location
مصدقة من المجلس الصيني لترويج التجارة الدولية,,Certified by the China Council for the Promotion of International Trade
مجموعة اصلية كاملة من بوالص شحن بحري نظيفة (في العنابر) مكونه على الاقل من 2/2 بالنص الطويل على نماذج الناقل المطبوعة صادرة او مجيرة لامر البنك العربي ش.م.ع. وتظهر طالب الاصدار كمخطر,,"A full set of original clean (stowed under deck) ocean bills of lading, consisting of at least 2/2, in long form, on the carrier’s pre-printed forms, issued or endorsed to the order of Arab Bank plc, and showing the applicant as notify party"
وتظهر :,,And showing:
اجور الشحن :,,Freight charges:
مدفوع مسبقا,,Prepaid
تدفع عند الوصول,,Payable on arrival
اسم وعنوان وكيل شركة الشحن او ممثله في بلد الوصول,,Name and address of the shipping company’s agent or its representative in the country of destination
الشحن بواسطة حاويات تبين الرقم المتسلسل للحاوية ورقم الختم,,Shipment by container(s) showing the container serial number and seal number
شهادة صادرة من مالكي السفينة/القبطان/الناقل أو من احد وكلائهم,,Certificate issued by the shipowners/master/carrier or one of their agents
تنص على أن السفينة الناقلة خاضعة لشرط مدونة الإدارة الآمنة (ISM)  والمدونــــة الدولية لأمن السفن والموانئ (ISPS),,Stating that the carrying vessel is subject to the International Safety Management (ISM) Code and the International Ship and Port Facility Security (ISPS) Code
وتظهر ان السفينه الناقلة :,,And showing that the carrying vessel:
سفينة خط مؤتمر ملاحية,,Is a conference line vessel
تبحر على خطوط شحن منتظمة,,Sailing on regular liner services
عضو في نادي تعويض وحماية,,Member of a Protection and Indemnity (P&I) Club
وثيقة شحن بري,,Road transport document
وثيقة شحن سكة حديد,,Rail transport document
وثيقة نقل بالطرق المائية الداخلية,,Inland waterway transport document
تظهر البضائع مجيرة لامر البنك العربي ش.م.ع. واخطار مقدم الطلب وتظهر اجور الشحن,,"Showing the goods consigned to the order of Arab Bank plc, with the applicant as notify party, and showing freight charges"
مدفوعة لغاية,,Paid up to
تدفع عند الوصول,,Payable on arrival
"وثيقة الشحن البري يجب ان تتضمن الشرط التالي "" نحن بموجب هذا نشهد بأن وثيقة الشحن البري هذه هي الوثيقة الوحيدة الصادرة بخصوص البضائع المبينة هنا ونحن نتحمل كامل المسؤولية هذه تبين ان هذه الشهادة غير صحيحة """,,"The road transport document must include the following clause: ""We hereby certify that this road transport document is the only document issued with respect to the goods described herein and we accept full responsibility should this certification prove incorrect."""
بوليصة ( بوالص) الشحن الجوي,,Air waybill(s)
تظهر البنك العربي ش م ع كمجير لامره ، و طالب الإصدار كمخطر . بوليصة ( بوالص) الشحن الجوي يجب ان تبين رقم الرحلة والتاريخ الفعلي للشحن وعلامة ان اجور الشحن :,,"Show Arab Bank plc as consignee to its order, and the applicant as notify. The air waybill(s) must show the flight number, the actual date of shipment, and indicate that freight is:"
مدفوع مسبقا,,Prepaid
غير محصلة,,Collect
ايصال بريدي,,Postal receipt
يظهر البنك العربي ش.م.ع. كمرسل إليه و مقدم الطلب كمخطر، وتظهر أجور الشحن,,"Showing Arab Bank plc as consignee and the applicant as notify, and showing freight charges"
مدفوع مسبقا,,Prepaid
على المستلم,,Payable by consignee
إيصال بريد خاص,,Courier receipt
